no	state	constituency	nameofelectedmp	partyaffiliation
281	Manipur	Outer Manipur	Lorho S. Pfoze	Naga People's Front
282	Meghalya	Shillong	Vincent Pala	Indian National Congress
283	Meghalya	Tura	Agatha Sangma	National People's Party
284	Mizoram	Mizoram	C. Lalrosanga	Mizo National Front
285	Nagaland	Nagaland	Tokheho Yepthomi	Nationalist Democratic Progressive Party
286	Odisha	Bargarh	Suresh Pujari	Bharatiya Janata Party
287	Odisha	Sundargarh	Jual Oram	Bharatiya Janata Party
288	Odisha	Sambalpur	Nitesh Gangadev	Bharatiya Janata Party
289	Odisha	Keonjhar	Chandrani Murmu	Biju Janata Dal
290	Odisha	Mayurbhanj	Bishweswar Tudu	Bharatiya Janata Party
291	Odisha	Balasore	Pratap Chandra Sarangi	Bharatiya Janata Party
292	Odisha	Bhadrak	Manjulata Mandal	Biju Janata Dal
293	Odisha	Jajpur	Sarmistha Sethi	Biju Janata Dal
294	Odisha	Dhenkanal	Mahesh Sahoo	Biju Janata Dal
295	Odisha	Bolangir	Sangeeta Kumari	Bharatiya Janata Party
296	Odisha	Kalahandi	Basanta Kumar Panda	Bharatiya Janata Party
297	Odisha	Nabarangpur	Ramesh Chandra Majhi	Biju Janata Dal
298	Odisha	Kandhamal	Achyutananda Samanta	Biju Janata Dal
299	Odisha	Cuttack	Bhartruhari Mahtab	Biju Janata Dal
300	Odisha	Kendrapara	Anubhav Mohanty	Biju Janata Dal
301	Odisha	Jagatsinghpur	Rajashree Mallick	Biju Janata Dal
302	Odisha	Puri	Pinaki Mishra	Biju Janata Dal
303	Odisha	Bhubaneswar	Aparajita Sarangi	Bharatiya Janata Party
304	Odisha	Aska	Pramila Bisoyi	Biju Janata Dal
305	Odisha	Berhampur	Chandra Sekhar Sahu	Biju Janata Dal
306	Odisha	Koraput	Saptagiri Sankar Ulaka	Indian National Congress
307	Punjab	Gurdaspur	Sunny Deol	Bharatiya Janata Party
308	Punjab	Amritsar	Gurjeet Singh Aujla	Indian National Congress
309	Punjab	Khadoor Sahib	Jasbir Singh Gill	Indian National Congress
310	Punjab	Jalandhar	Santokh Singh Chaudhary	Indian National Congress
311	Punjab	Hoshiarpur	Som Prakash	Bharatiya Janata Party
312	Punjab	Anandpur Sahib	Manish Tewari	Indian National Congress
313	Punjab	Ludhiana	Ravneet Singh Bittu	Indian National Congress
314	Punjab	Fatehgarh Sahib	Amar Singh	Indian National Congress
315	Punjab	Faridkot	Muhammad Sadiq	Indian National Congress
316	Punjab	Ferozpur	Sukhbir Singh Badal	Shiromani Akali Dal
317	Punjab	Bathinda	Harsimrat Kaur Badal	Shiromani Akali Dal
318	Punjab	Sangrur	Bhagwant Mann	Aam Aadmi Party
319	Punjab	Patiala	Preneet Kaur	Indian National Congress
320	Rajasthan	Ganganagar	Nihalchand	Bharatiya Janata Party
321	Rajasthan	Bikaner	Arjun Ram Meghwal	Bharatiya Janata Party
322	Rajasthan	Churu	Rahul Kaswan	Bharatiya Janata Party
323	Rajasthan	Jhunjhunu	Narendra Kumar	Bharatiya Janata Party
324	Rajasthan	Sikar	Sumedhanand Saraswati	Bharatiya Janata Party
325	Rajasthan	Jaipur Rural	Rajyavardhan Singh Rathore	Bharatiya Janata Party
326	Rajasthan	Jaipur	Ramcharan Bohara	Bharatiya Janata Party
327	Rajasthan	Alwar	Balak Nath	Bharatiya Janata Party
328	Rajasthan	Bharatpur	Ranjeeta Koli	Bharatiya Janata Party
329	Rajasthan	Karauli–Dholpur	Manoj Rajoria	Bharatiya Janata Party
330	Rajasthan	Dausa	Jaskaur Meena	Bharatiya Janata Party
331	Rajasthan	Tonk–Sawai Madhopur	Sukhbir Singh Jaunapuria	Bharatiya Janata Party
332	Rajasthan	Ajmer	Bhagirath Choudhary	Bharatiya Janata Party
333	Rajasthan	Nagaur	Hanuman Beniwal	Rashtriya Loktantrik Party
334	Rajasthan	Pali	P. P. Chaudhary	Bharatiya Janata Party
335	Rajasthan	Jodhpur	Gajendra Singh Shekhawat	Bharatiya Janata Party
336	Rajasthan	Barmer	Kailash Choudhary	Bharatiya Janata Party
337	Rajasthan	Jalore	Devaji Patel	Bharatiya Janata Party
338	Rajasthan	Udaipur	Arjun Lal Meena	Bharatiya Janata Party
339	Rajasthan	Banswara	Kanak Mal Katara	Bharatiya Janata Party
340	Rajasthan	Chittorgarh	Chandra Prakash Joshi	Bharatiya Janata Party
341	Rajasthan	Rajsamand	Diya Kumari	Bharatiya Janata Party
342	Rajasthan	Bhilwara	Subhash Chandra Baheria	Bharatiya Janata Party
343	Rajasthan	Kota	Om Birla	Bharatiya Janata Party
344	Rajasthan	Jhalawar	Dushyant Singh	Bharatiya Janata Party
345	Sikkim	Sikkim	Indra Hang Subba	Sikkim Krantikari Morcha
346	Tamil Nadu	Thiruvallur	K. Jeyakumar	Indian National Congress
347	Tamil Nadu	Chennai North	Kalanidhi Veeraswamy	Dravida Munnetra Kazhagam
348	Tamil Nadu	Chennai South	Thamizhachi Thangapandian	Dravida Munnetra Kazhagam
349	Tamil Nadu	Chennai Central	Dayanidhi Maran	Dravida Munnetra Kazhagam
350	Tamil Nadu	Sriperumbudur	T. R. Baalu	Dravida Munnetra Kazhagam
351	Tamil Nadu	Kancheepuram	G. Selvam	Dravida Munnetra Kazhagam
352	Tamil Nadu	Arakkonam	S. Jagathrakshakan	Dravida Munnetra Kazhagam
353	Tamil Nadu	Vellore	D. M. Kathir Anand	Dravida Munnetra Kazhagam
354	Tamil Nadu	Krishnagiri	A. Chellakumar	Indian National Congress
355	Tamil Nadu	Dharmapuri	S. Senthil Kumar	Dravida Munnetra Kazhagam
356	Tamil Nadu	Tiruvannamalai	Annadurai C N	Dravida Munnetra Kazhagam
357	Tamil Nadu	Arani	M. K. Vishnu Prasad	Indian National Congress
358	Tamil Nadu	Viluppuram	D. Ravikumar	Dravida Munnetra Kazhagam (VCK)
359	Tamil Nadu	Kallakurichi	Gautam Sigamani	Dravida Munnetra Kazhagam
360	Tamil Nadu	Salem	S. R. Parthiban	Dravida Munnetra Kazhagam
361	Tamil Nadu	Namakkal	A. K. P. Chinraj	Dravida Munnetra Kazhagam (KMDK)
362	Tamil Nadu	Erode	A. Ganeshamurthi	Dravida Munnetra Kazhagam (MDMK)
363	Tamil Nadu	Tiruppur	K. Subbarayan	Communist Party of India
364	Tamil Nadu	Nilgiris	A. Raja	Dravida Munnetra Kazhagam
365	Tamil Nadu	Coimbatore	P. R. Natarajan	Communist Party of India (Marxist)
366	Tamil Nadu	Pollachi	K. Shamugasundaram	Dravida Munnetra Kazhagam
367	Tamil Nadu	Dindigul	P. Veluchamy	Dravida Munnetra Kazhagam
368	Tamil Nadu	Karur	Jothimani	Indian National Congress
